id,user,videoId
0.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,2.0
3.0,1.0,3.0
4.0,1.0,4.0
5.0,1.0,5.0
6.0,1.0,6.0
7.0,1.0,7.0
8.0,1.0,8.0
9.0,2.0,0.0
10.0,2.0,1.0
11.0,2.0,2.0
12.0,2.0,3.0
13.0,2.0,4.0
14.0,2.0,5.0
15.0,2.0,6.0
16.0,2.0,7.0
17.0,2.0,8.0
18.0,3.0,0.0
19.0,3.0,1.0
20.0,3.0,2.0
21.0,3.0,3.0
22.0,3.0,4.0
23.0,3.0,5.0
24.0,3.0,6.0
25.0,3.0,7.0
26.0,3.0,8.0
27.0,4.0,0.0
28.0,4.0,1.0
29.0,4.0,2.0
30.0,4.0,3.0
31.0,4.0,4.0
32.0,4.0,5.0
33.0,4.0,6.0
34.0,4.0,7.0
35.0,4.0,8.0
36.0,5.0,0.0
37.0,5.0,1.0
38.0,5.0,2.0
39.0,5.0,3.0
40.0,5.0,4.0
41.0,5.0,5.0
42.0,5.0,6.0
43.0,5.0,7.0
44.0,5.0,8.0
45.0,6.0,0.0
46.0,6.0,1.0
47.0,6.0,2.0
48.0,6.0,3.0
49.0,6.0,4.0
50.0,6.0,5.0
51.0,6.0,6.0
52.0,6.0,7.0
53.0,6.0,8.0
54.0,7.0,0.0
55.0,7.0,1.0
56.0,7.0,2.0
57.0,7.0,3.0
58.0,7.0,4.0
59.0,7.0,5.0
60.0,7.0,6.0
61.0,7.0,7.0
62.0,7.0,8.0
63.0,8.0,0.0
64.0,8.0,1.0
65.0,8.0,2.0
66.0,8.0,3.0
67.0,8.0,4.0
68.0,8.0,5.0
69.0,8.0,6.0
70.0,8.0,7.0
71.0,8.0,8.0
72.0,9.0,0.0
73.0,9.0,1.0
74.0,9.0,2.0
75.0,9.0,3.0
76.0,9.0,4.0
77.0,9.0,5.0
78.0,9.0,6.0
79.0,9.0,7.0
80.0,9.0,8.0
81.0,10.0,0.0
82.0,10.0,1.0
83.0,10.0,2.0
84.0,10.0,3.0
85.0,10.0,4.0
86.0,10.0,5.0
87.0,10.0,6.0
88.0,10.0,7.0
89.0,10.0,8.0
90.0,11.0,0.0
91.0,11.0,1.0
92.0,11.0,2.0
93.0,11.0,3.0
94.0,11.0,4.0
95.0,11.0,5.0
96.0,11.0,6.0
97.0,11.0,7.0
98.0,11.0,8.0
99.0,12.0,0.0
100.0,12.0,1.0
101.0,12.0,2.0
102.0,12.0,3.0
103.0,12.0,4.0
104.0,12.0,5.0
105.0,12.0,6.0
106.0,12.0,7.0
107.0,12.0,8.0
108.0,13.0,0.0
109.0,13.0,1.0
110.0,13.0,2.0
111.0,13.0,3.0
112.0,13.0,4.0
113.0,13.0,5.0
114.0,13.0,6.0
115.0,13.0,7.0
116.0,13.0,8.0
117.0,14.0,0.0
118.0,14.0,1.0
119.0,14.0,2.0
120.0,14.0,3.0
121.0,14.0,4.0
122.0,14.0,5.0
123.0,14.0,6.0
124.0,14.0,7.0
125.0,14.0,8.0
126.0,15.0,0.0
127.0,15.0,1.0
128.0,15.0,2.0
129.0,15.0,3.0
130.0,15.0,4.0
131.0,15.0,5.0
132.0,15.0,6.0
133.0,15.0,7.0
134.0,15.0,8.0
135.0,16.0,0.0
136.0,16.0,1.0
137.0,16.0,2.0
138.0,16.0,3.0
139.0,16.0,4.0
140.0,16.0,5.0
141.0,16.0,6.0
142.0,16.0,7.0
143.0,16.0,8.0
144.0,17.0,0.0
145.0,17.0,1.0
146.0,17.0,2.0
147.0,17.0,3.0
148.0,17.0,4.0
149.0,17.0,5.0
150.0,17.0,6.0
151.0,17.0,7.0
152.0,17.0,8.0
153.0,18.0,0.0
154.0,18.0,1.0
155.0,18.0,2.0
156.0,18.0,3.0
157.0,18.0,4.0
158.0,18.0,5.0
159.0,18.0,6.0
160.0,18.0,7.0
161.0,18.0,8.0
162.0,19.0,0.0
163.0,19.0,1.0
164.0,19.0,2.0
165.0,19.0,3.0
166.0,19.0,4.0
167.0,19.0,5.0
168.0,19.0,6.0
169.0,19.0,7.0
170.0,19.0,8.0
171.0,20.0,0.0
172.0,20.0,1.0
173.0,20.0,2.0
174.0,20.0,3.0
175.0,20.0,4.0
176.0,20.0,5.0
177.0,20.0,6.0
178.0,20.0,7.0
179.0,20.0,8.0
180.0,21.0,0.0
181.0,21.0,1.0
182.0,21.0,2.0
183.0,21.0,3.0
184.0,21.0,4.0
185.0,21.0,5.0
186.0,21.0,6.0
187.0,21.0,7.0
188.0,21.0,8.0
189.0,22.0,0.0
190.0,22.0,1.0
191.0,22.0,2.0
192.0,22.0,3.0
193.0,22.0,4.0
194.0,22.0,5.0
195.0,22.0,6.0
196.0,22.0,7.0
197.0,22.0,8.0
198.0,23.0,0.0
199.0,23.0,1.0
200.0,23.0,2.0
201.0,23.0,3.0
202.0,23.0,4.0
203.0,23.0,5.0
204.0,23.0,6.0
205.0,23.0,7.0
206.0,23.0,8.0
207.0,24.0,0.0
208.0,24.0,1.0
209.0,24.0,2.0
210.0,24.0,3.0
211.0,24.0,4.0
212.0,24.0,5.0
213.0,24.0,6.0
214.0,24.0,7.0
215.0,24.0,8.0
216.0,25.0,0.0
217.0,25.0,1.0
218.0,25.0,2.0
219.0,25.0,3.0
220.0,25.0,4.0
221.0,25.0,5.0
222.0,25.0,6.0
223.0,25.0,7.0
224.0,25.0,8.0
225.0,26.0,0.0
226.0,26.0,1.0
227.0,26.0,2.0
228.0,26.0,3.0
229.0,26.0,4.0
230.0,26.0,5.0
231.0,26.0,6.0
232.0,26.0,7.0
233.0,26.0,8.0
234.0,27.0,0.0
235.0,27.0,1.0
236.0,27.0,2.0
237.0,27.0,3.0
238.0,27.0,4.0
239.0,27.0,5.0
240.0,27.0,6.0
241.0,27.0,7.0
242.0,27.0,8.0
243.0,28.0,0.0
244.0,28.0,1.0
245.0,28.0,2.0
246.0,28.0,3.0
247.0,28.0,4.0
248.0,28.0,5.0
249.0,28.0,6.0
250.0,28.0,7.0
251.0,28.0,8.0
252.0,29.0,0.0
253.0,29.0,1.0
254.0,29.0,2.0
255.0,29.0,3.0
256.0,29.0,4.0
257.0,29.0,5.0
258.0,29.0,6.0
259.0,29.0,7.0
260.0,29.0,8.0
261.0,30.0,0.0
262.0,30.0,1.0
263.0,30.0,2.0
264.0,30.0,3.0
265.0,30.0,4.0
266.0,30.0,5.0
267.0,30.0,6.0
268.0,30.0,7.0
269.0,30.0,8.0
270.0,31.0,0.0
271.0,31.0,1.0
272.0,31.0,2.0
273.0,31.0,3.0
274.0,31.0,4.0
275.0,31.0,5.0
276.0,31.0,6.0
277.0,31.0,7.0
278.0,31.0,8.0
279.0,32.0,0.0
280.0,32.0,1.0
281.0,32.0,2.0
282.0,32.0,3.0
283.0,32.0,4.0
284.0,32.0,5.0
285.0,32.0,6.0
286.0,32.0,7.0
287.0,32.0,8.0
288.0,33.0,0.0
289.0,33.0,1.0
290.0,33.0,2.0
291.0,33.0,3.0
292.0,33.0,4.0
293.0,33.0,5.0
294.0,33.0,6.0
295.0,33.0,7.0
296.0,33.0,8.0
297.0,34.0,0.0
298.0,34.0,1.0
299.0,34.0,2.0
300.0,34.0,3.0
301.0,34.0,4.0
302.0,34.0,5.0
303.0,34.0,6.0
304.0,34.0,7.0
305.0,34.0,8.0
306.0,35.0,0.0
307.0,35.0,1.0
308.0,35.0,2.0
309.0,35.0,3.0
310.0,35.0,4.0
311.0,35.0,5.0
312.0,35.0,6.0
313.0,35.0,7.0
314.0,35.0,8.0
315.0,36.0,0.0
316.0,36.0,1.0
317.0,36.0,2.0
318.0,36.0,3.0
319.0,36.0,4.0
320.0,36.0,5.0
321.0,36.0,6.0
322.0,36.0,7.0
323.0,36.0,8.0
324.0,37.0,0.0
325.0,37.0,1.0
326.0,37.0,2.0
327.0,37.0,3.0
328.0,37.0,4.0
329.0,37.0,5.0
330.0,37.0,6.0
331.0,37.0,7.0
332.0,37.0,8.0
333.0,38.0,0.0
334.0,38.0,1.0
335.0,38.0,2.0
336.0,38.0,3.0
337.0,38.0,4.0
338.0,38.0,5.0
339.0,38.0,6.0
340.0,38.0,7.0
341.0,38.0,8.0
342.0,39.0,0.0
343.0,39.0,1.0
344.0,39.0,2.0
345.0,39.0,3.0
346.0,39.0,4.0
347.0,39.0,5.0
348.0,39.0,6.0
349.0,39.0,7.0
350.0,39.0,8.0
351.0,40.0,0.0
352.0,40.0,1.0
353.0,40.0,2.0
354.0,40.0,3.0
355.0,40.0,4.0
356.0,40.0,5.0
357.0,40.0,6.0
358.0,40.0,7.0
359.0,40.0,8.0
360.0,41.0,0.0
361.0,41.0,1.0
362.0,41.0,2.0
363.0,41.0,3.0
364.0,41.0,4.0
365.0,41.0,5.0
366.0,41.0,6.0
367.0,41.0,7.0
368.0,41.0,8.0
369.0,42.0,0.0
370.0,42.0,1.0
371.0,42.0,2.0
372.0,42.0,3.0
373.0,42.0,4.0
374.0,42.0,5.0
375.0,42.0,6.0
376.0,42.0,7.0
377.0,42.0,8.0
378.0,43.0,0.0
379.0,43.0,1.0
380.0,43.0,2.0
381.0,43.0,3.0
382.0,43.0,4.0
383.0,43.0,5.0
384.0,43.0,6.0
385.0,43.0,7.0
386.0,43.0,8.0
387.0,44.0,0.0
388.0,44.0,1.0
389.0,44.0,2.0
